ܐܦܪܝܩܐ	Afrika
ܡܥܝܐ ܩܛܝܢܐ	Tunntarm
ܣܘܪܓܕܐ ܝܘܠܝܝܐ	Julianska kalendern
ܐܣܝܘܬܐ	Medicinsk vetenskap
ܡܠܚܐ (ܐܨܪܐ)	Salt
ܣܕܪܐ:ܒܪܐܙܝܠ	Kategori:Brasilien
ܙܘܝܬܐ (ܡܚܪܘܬܐ)	Vinkel
ܬܘܩܦܐ	Energi
ܣܦܝܢܬܐ	Skepp
ܩܠܐ (ܨܘܬܐ)	Ljud
ܙܓܘܓܝܬܐ	Glas
ܫܛܝܚܘܬܐ	Area
ܡܢܝܢܐ	Tal
ܪܦܦܐ	Sekund
ܣܥܪܬܐ	Korn
ܘܘܗܐܢ	Wuhan
ܡܟܬܒܢܘܬܐ ܕܐܬܪܘܬܐ	Lista över självständiga stater
ܒܝܬ ܢܗܪܝܢ	Mesopotamien
ܕܒܐ	Björnar
ܬܠܗܝܐ	Cancer
ܡܠܟܐ	Kung
ܚܛܬܐ	Vetesläktet
ܣܘܪܓܕܐ	Kalender
ܟܘܪܗܢܐ	Sjukdom
ܣܘܪܓܕܐ ܓܪܝܓܘܪܝܐ	Gregorianska kalendern
ܟܦܣܐ	Menstruation
ܥܡܐ ܩܪܕܘܝܐ	Kurder
ܓܫܪܐ	Bro
ܡܓܕܠܐ (ܒܢܝܢܐ)	Torn
ܐܡܪܝܩܐ ܠܐܛܝܢܝܬܐ	Latinamerika
ܟܗܪܒܐ	Elektricitet
ܡܙܝܥܢܐ ܕܩܝܕܐ ܓܘܝܐ	Förbränningsmotor
ܣܝܦܐ (ܙܝܢܐ)	Svärd
ܫܡܥܘܢ ܩܢܢܝܐ	Simon Ivraren
ܩܪܩܦܬܐ	Kranium
ܓܘܡܠܐ!	Joomla
ܐܦܫܬܐ	Russin
